title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
ImpossibleBench: Measuring LLMs' Propensity of Exploiting Test Cases,,Ziqian Zhong; Aditi Raghunathan; Nicholas Carlini,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG,arXiv
Improving Automated Program Repair with Domain Adaptation,10.1145/3631972,"Zirak, Armin and Hemmati, Hadi",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,ACM Trans. Softw. Eng. Methodol.,TOSEM
Improving Code Localization with Repository Memory,,Boshi Wang; Weijian Xu; Yunsheng Li; Mei Gao; Yujia Xie; Huan Sun; Dongdong Chen,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; ICLR 2026,ICLR
Improving Deep Assertion Generation via Fine-Tuning Retrieval-Augmented Pre-Trained Language Models,10.1145/3721128,"Zhang, Quanjun and Fang, Chunrong and Zheng, Yi and Zhang, Yaxin and Zhao, Yuan and Huang, Rubing and Zhou, Jianyi and Yang, Yun and Zheng, Tao and Chen, Zhenyu",2025,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,ACM Trans. Softw. Eng. Methodol.,TOSEM
Improving LLM-Based Fault Localization with External Memory and Project Context,,Inseok Yeo; Duksan Ryu; Jongmoon Baik,2025,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
Improving the Ability of Pre-trained Language Model by Imparting Large Language Model's Experience,,Xin Yin; Chao Ni; Xiaodan Xu; Xinrui Li; Xiaohu Yang,2024,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
"Infant Agent: A Tool-Integrated, Logic-Driven Agent with Cost-Effective API Usage",,Bin Lei; Yuchen Li; Yiming Zeng; Tao Ren; Yi Luo; Tianyu Shi; Zitian Gao; Zeyu Hu; Weitai Kang; Qiuwu Chen,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
InfantAgent-Next: A Multimodal Generalist Agent for Automated Computer Interaction,,Bin Lei; Weitai Kang; Zijian Zhang; Winson Chen; Xi Xie; Shan Zuo; Mimi Xie; Ali Payani; Mingyi Hong; Yan Yan; Caiwen Ding,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; NeurIPS 2025,NeurIPS
InfCode-C++: Intent-Guided Semantic Retrieval and AST-Structured Search for C++ Issue Resolution,,Qingao Dong; Mengfei Wang; Hengzhi Zhang; Zhichao Li; Yuan Yuan; Mu Li; Xiang Gao; Hailong Sun; Chunming Hu; Weifeng Lv,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
InfCode: Adversarial Iterative Refinement of Tests and Patches for Reliable Software Issue Resolution,,KeFan Li; Mengfei Wang; Hengzhi Zhang; Zhichao Li; Yuan Yuan; Mu Li; Xiang Gao; Hailong Sun; Chunming Hu; Weifeng Lv,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
InferFix: End-to-End Program Repair with LLMs,10.1145/3611643.3613892,"Jin, Matthew and Shahriar, Syed and Tufano, Michele and Shi, Xin and Lu, Shuai and Sundaresan, Neel and Svyatkovskiy, Alexey",2023,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,FSE
Inferring multiple helper Dafny assertions with LLMs,,Álvaro Silva; Alexandra Mendes; Ruben Martins,2025,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
Information Retrieval-Based Fault Localization for Concurrent Programs,10.1109/ase56229.2023.00122,"Shao, Shuai and Yu, Tingting",2024,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,ASE
Input Reduction Enhanced LLM-based Program Repair,,Boyang Yang; Luyao Ren; Xin Yin; Jiadong Ren; Haoye Tian; Shunfu Jin,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; ICSE 2026,ICSE
Instruct or Interact? Exploring and Eliciting LLMs' Capability in Code Snippet Adaptation through Prompt Engineering,10.1109/icse55347.2025.00104,"Zhang, Tanghaoran and Yu, Yue and Mao, Xinjun and Wang, Shangwen and Yang, Kang and Lu, Yao and Zhang, Zhang and Zhao, Yuxin",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,ICSE
Integrating Large Language Models and Reinforcement Learning for Non-linear Reasoning,10.1145/3715761,"Alon, Yoav and David, Cristina",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,FSE/ESEC,FSE
Integrating Various Software Artifacts for Better LLM-based Bug Localization and Program Repair,10.1145/3770581,"Feng, Qiong and Ma, Xiaotian and Sheng, Jiayi and Feng, Ziyuan and Song, Wei and Liang, Peng",2025,ACM+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,6,ACM Trans. Softw. Eng. Methodol.; cs.SE; TOSEM,TOSEM
Intention-Based GUI Test Migration for Mobile Apps using Large Language Models,10.1145/3728978,"Cao, Shaoheng and Pan, Minxue and Lan, Yuanhong and Li, Xuandong",2025,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,ISSTA,ISSTA
InterTrans: Leveraging Transitive Intermediate Translations to Enhance LLM-Based Code Translation,10.1109/icse55347.2025.00236,"Macedo, Marcos and Tian, Yuan and Nie, Pengyu and Cogo, Filipe R. and Adams, Bram",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,ICSE
Invalidator: Automated Patch Correctness Assessment Via Semantic and Syntactic Reasoning,10.1109/tse.2023.3255177,T. Le-Cong; D. -M. Luong; X. B. D. Le; D. Lo; N. -H. Tran; B. Quang-Huy; Q. -T. Huynh,2023,IEEE,SE-G1 AND AI-G1,1,IEEE Transactions on Software Engineering,TSE
Investigating Developers' Preferences for Learning and Issue Resolution Resources in the ChatGPT Era,,Ahmad Tayeb; Mohammad D. Alahmadi; Elham Tajik; Sonia Haiduc,2024,arXiv,SE-G1 AND AI-G1,1,cs.SE; ICSME 2024,ICSME
IRepair: An Intent-Aware Approach to Repair Data-Driven Errors in Large Language Models,10.1145/3715775,"Imtiaz, Sayem Mohammad and Singh, Astha and Batole, Fraol and Rajan, Hridesh",2025,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,FSE/ESEC,FSE
Is Agentic AI Ready for Real-World Hardware Engineering? A Deep Dive with Phoenix-bench,,Qingyun Zou; Feng Yu; Hongshi Tan; Bingsheng He; WengFai Wong,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AR,arXiv
Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks,,Songwen Zhao; Danqing Wang; Kexun Zhang; Jiaxuan Luo; Zhuo Li; Lei Li,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML 2026,ICML
iSMELL: Assembling LLMs with Expert Toolsets for Code Smell Detection and Refactoring,10.1145/3691620.3695508,"Wu, Di and Mu, Fangwen and Shi, Lin and Guo, Zhaoqiang and Liu, Kui and Zhuang, Weiguang and Zhong, Yuqi and Zhang, Li",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ASE
Issue Localization via LLM-Driven Iterative Code Graph Searching,10.1109/ase63991.2025.00249,Z. Jiang; X. Ren; M. Yan; W. Jiang; Y. Li; Z. Liu,2025,IEEE+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,4,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE); cs.SE,ASE
ITER: Iterative Neural Repair for Multi-Location Patches,10.1145/3597503.3623337,"Ye, He and Monperrus, Martin",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,ICSE
JIT-MTL: Just-in-Time Defect Localization and Prediction with Multi-Task Learning,10.1145/3797269,"Shen, Zongwen and Zou, Wentao and Chen, Xiang and Ge, Jidong and Li, Chuanyi and Cao, Shuai and Zhang, Xuewei and Huang, LiGuo and Luo, Bin",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
JLeaks: A Featured Resource Leak Repository Collected From Hundreds of Open-Source Java Projects,10.1145/3597503.3639162,"Liu, Tianyang and Ji, Weixing and Dong, Xiaohui and Yao, Wuhuang and Wang, Yizhuo and Liu, Hui and Peng, Haiyang and Wang, Yuxuan",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,ICSE
JSON Whisperer: Efficient JSON Editing with LLMs,,Sarel Duanis; Asnat Greenstein-Messica; Eliya Habba,2025,arXiv,SE-G2 AND AI-G1,1,cs.CL; EMNLP 2025 (Industry Track),EMNLP
Just-in-Time Detection of Silent Security Patches,10.1145/3749370,"Tang, Xunzhu and Kim, Kisub and Ezzini, Saad and Song, Yewei and Tian, Haoye and Klein, Jacques and Bissyandé, Tegawendé",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
Kimi K2: Open Agentic Intelligence,,Kimi Team; Yifan Bai; Yiping Bao; Y. Charles; Cheng Chen; Guanduo Chen; Haiting Chen; Huarong Chen; Jiahao Chen; Ningxin Chen; Ruijue Chen; Yanru Chen; Yuankun Chen; Yutian Chen; Zhuofu Chen; Jialei Cui; Hao Ding; Mengnan Dong; Angang Du; Chenzhuang Du; Dikang Du; Yulun Du; Yu Fan; Yichen Feng; Kelin Fu; Bofei Gao; Chenxiao Gao; Hongcheng Gao; Peizhong Gao; Tong Gao; Yuyao Ge; Shangyi Geng; Qizheng Gu; Xinran Gu; Longyu Guan; Haiqing Guo; Jianhang Guo; Xiaoru Hao; Tianhong He; Weiran He; Wenyang He; Yunjia He; Chao Hong; Hao Hu; Yangyang Hu; Zhenxing Hu; Weixiao Huang; Zhiqi Huang; Zihao Huang; Tao Jiang; Zhejun Jiang; Xinyi Jin; Yongsheng Kang; Guokun Lai; Cheng Li; Fang Li; Haoyang Li; Ming Li; Wentao Li; Yang Li; Yanhao Li; Yiwei Li; Zhaowei Li; Zheming Li; Hongzhan Lin; Xiaohan Lin; Zongyu Lin; Chengyin Liu; Chenyu Liu; Hongzhang Liu; Jingyuan Liu; Junqi Liu; Liang Liu; Shaowei Liu; T. Y. Liu; Tianwei Liu; Weizhou Liu; Yangyang Liu; Yibo Liu; Yiping Liu; Yue Liu; Zhengying Liu; Enzhe Lu; Haoyu Lu; Lijun Lu; Yashuo Luo; Shengling Ma; Xinyu Ma; Yingwei Ma; Shaoguang Mao; Jie Mei; Xin Men; Yibo Miao; Siyuan Pan; Yebo Peng; Ruoyu Qin; Zeyu Qin; Bowen Qu; Zeyu Shang; Lidong Shi; Shengyuan Shi; Feifan Song; Jianlin Su; Zhengyuan Su; Lin Sui; Xinjie Sun; Flood Sung; Yunpeng Tai; Heyi Tang; Jiawen Tao; Qifeng Teng; Chaoran Tian; Chensi Wang; Dinglu Wang; Feng Wang; Hailong Wang; Haiming Wang; Jianzhou Wang; Jiaxing Wang; Jinhong Wang; Shengjie Wang; Shuyi Wang; Si Wang; Xinyuan Wang; Yao Wang; Yejie Wang; Yiqin Wang; Yuxin Wang; Yuzhi Wang; Zhaoji Wang; Zhengtao Wang; Zhengtao Wang; Zhexu Wang; Chu Wei; Qianqian Wei; Haoning Wu; Wenhao Wu; Xingzhe Wu; Yuxin Wu; Chenjun Xiao; Jin Xie; Xiaotong Xie; Weimin Xiong; Boyu Xu; Jinjing Xu; L. H. Xu; Lin Xu; Suting Xu; Weixin Xu; Xinran Xu; Yangchuan Xu; Ziyao Xu; Jing Xu; Jing Xu; Junjie Yan; Yuzi Yan; Hao Yang; Xiaofei Yang; Yi Yang; Ying Yang; Zhen Yang; Zhilin Yang; Zonghan Yang; Haotian Yao; Xingcheng Yao; Wenjie Ye; Zhuorui Ye; Bohong Yin; Longhui Yu; Enming Yuan; Hongbang Yuan; Mengjie Yuan; Siyu Yuan; Haobing Zhan; Dehao Zhang; Hao Zhang; Wanlu Zhang; Xiaobin Zhang; Yadong Zhang; Yangkun Zhang; Yichi Zhang; Yizhi Zhang; Yongting Zhang; Yu Zhang; Yutao Zhang; Yutong Zhang; Zheng Zhang; Haotian Zhao; Yikai Zhao; Zijia Zhao; Huabin Zheng; Shaojie Zheng; Longguang Zhong; Jianren Zhou; Xinyu Zhou; Zaida Zhou; Jinguo Zhu; Zhen Zhu; Weiyu Zhuang; Xinxing Zu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG,arXiv
Kimi-Dev: Agentless Training as Skill Prior for SWE-Agents,,Zonghan Yang; Shengjie Wang; Kelin Fu; Wenyang He; Weimin Xiong; Yibo Liu; Yibo Miao; Bofei Gao; Yejie Wang; Yingwei Ma; Yanhao Li; Yue Liu; Zhenxing Hu; Kaitai Zhang; Shuyi Wang; Huarong Chen; Flood Sung; Yang Liu; Yang Gao; Zhilin Yang; Tianyu Liu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ICLR 2026,ICLR
KLong: Training LLM Agent for Extremely Long-horizon Tasks,,Yue Liu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Knowledge-Enhanced Program Repair for Data Science Code,10.1109/icse55347.2025.00246,"Ouyang, Shuyin and Zhang, Jie M. and Sun, Zeyu and Penuela, Albert Merono",2025,ACM+IEEE+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,6,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering; 2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE); cs.SE,ICSE
Kodezi Chronos: A Debugging-First Language Model for Repository-Scale Code Understanding,,Ishraq Khan; Assad Chowdary; Sharoz Haseeb; Urvish Patel; Yousuf Zaii,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
L4: Diagnosing Large-scale LLM Training Failures via Automated Log Analysis,10.1145/3696630.3728531,"Jiang, Zhihan and Huang, Junjie and Yu, Guangba and Chen, Zhuangbin and Li, Yichen and Zhong, Renyi and Feng, Cong and Yang, Yongqiang and Yang, Zengyin and Lyu, Michael",2025,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
LLM-based Agents for Automated Bug Fixing: How Far Are We?,,"Zexiong Ma, Pengfei Gao, Chao Peng Xiangxin Meng",2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
Large Language Model Critics for Execution-Free Evaluation of Code Changes,,Aashish Yadavally; Hoan Nguyen; Laurent Callot; Gauthier Guinet,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,10.1145/3708522,"Zhou, Xin and Cao, Sicong and Sun, Xiaobing and Lo, David",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
Large Language Model for Vulnerability Detection: Emerging Results and Future Directions,10.1145/3639476.3639762,"Zhou, Xin and Zhang, Ting and Lo, David",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results,ICSE
Large Language Model vs. Stack Overflow in Addressing Android Permission Related Challenges,10.1145/3643991.3644933,"Oishwee, Sahrima Jannat and Stakhanova, Natalia and Codabux, Zadia",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 21st International Conference on Mining Software Repositories,MSR
Large Language Model-Based Agents for Software Engineering: A Survey,10.1145/3796507,"Liu, Junwei and Wang, Kaixin and Chen, Yixuan and Peng, Xin and Chen, Zhenpeng and Zhang, Lingming and Lou, Yiling",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
Large Language Models are Edge-Case Generators: Crafting Unusual Programs for Fuzzing Deep Learning Libraries,10.1145/3597503.3623343,"Deng, Yinlin and Xia, Chunqiu Steven and Yang, Chenyuan and Zhang, Shizhuo Dylan and Yang, Shujing and Zhang, Lingming",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,ICSE
Large Language Models are Few-shot Testers: Exploring LLM-based General Bug Reproduction,10.1109/icse48619.2023.00194,S. Kang; J. Yoon; S. Yoo,2023,IEEE,SE-G2 AND AI-G1,1,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),ICSE
Large Language Models for Code Translation: An In-Depth Analysis of Code Smells and Functional Correctness,10.1145/3777383,"Feischl, Christof and Kern, Roman",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
Large Language Models for Constructing and Optimizing Machine Learning Workflows: A Survey,10.1145/3773084,"Gu, Yang and You, Hengyu and Cao, Jian and Yu, Muran and Fan, Haoran and Qian, Shiyou",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
Large Language Models for Cyber Security: A Systematic Literature Review,10.1145/3769676,"Xu, Hanxiang and Wang, Shenao and Li, Ningke and Wang, Kailong and Zhao, Yanjie and Chen, Kai and Yu, Ting and Liu, Yang and Wang, Haoyu",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
Large Language Models for Equivalent Mutant Detection: How Far Are We?,10.1145/3650212.3680395,"Tian, Zhao and Shu, Honglin and Wang, Dong and Cao, Xuejie and Kamei, Yasutaka and Chen, Junjie",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
Large Language Models for Fault Localization: An Empirical Study,,YingJian Xiao; RongQun Hu; WeiWei Gong; HongWei Li; AnQuan Jie,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Large Language Models for Software Engineering: A Systematic Literature Review,10.1145/3695988,"Hou, Xinyi and Zhao, Yanjie and Liu, Yue and Yang, Zhou and Wang, Kailong and Li, Li and Luo, Xiapu and Lo, David and Grundy, John and Wang, Haoyu",2024,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
Large Language Models for Software Engineering: Survey and Open Problems,10.1109/icse-fose59343.2023.00008,A. Fan; B. Gokkaya; M. Harman; M. Lyubarskiy; S. Sengupta; S. Yoo; J. M. Zhang,2023,IEEE,SE-G1 AND AI-G1,1,2023 IEEE/ACM International Conference on Software Engineering: Future of Software Engineering (ICSE-FoSE),ICSE
Large Language Models for Test-Free Fault Localization,10.1145/3597503.3623342,"Yang, Aidan Z. H. and Le Goues, Claire and Martins, Ruben and Hellendoorn, Vincent",2024,ACM+IEEE+arXiv,SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering; 2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE); cs.SE,ICSE
Larger Is Not Always Better: Exploring Small Open-source Language Models in Logging Statement Generation,10.1145/3773287,"Zhong, Renyi and Li, Yichen and Yu, Guangba and Gu, Wenwei and Kuang, Jinxi and Huo, Yintong and Lyu, Michael R.",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
LEAM++: Learning for Selective Mutation Fault Construction,10.1145/3725528,"Tian, Zhao and Chen, Junjie and Wang, Dong and Zhu, Qihao and Fan, Xingyu and Zhang, Lingming",2025,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,ACM Trans. Softw. Eng. Methodol.,TOSEM
Lean4Agent: Formal Modeling and Verification for Agent Workflow and Trajectory,,Ruida Wang; Jerry Huang; Pengcheng Wang; Xuanqing Liu; Luyang Kong; Tong Zhang,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,,Hongjin Su; Ruoxi Sun; Jinsung Yoon; Pengcheng Yin; Tao Yu; Sercan Ö. Arık,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG; ICLR 2025,ICLR
Learned or Memorized ? Quantifying Memorization Advantage in Code LLMs,,Djiré Albérick Euraste; Kaboré Abdoul Kader; Jordan Samhi; Earl T. Barr; Jacques Klein; Tegawendé F. Bissyandé,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE; ICSE 2026,ICSE
Learner-Tailored Program Repair: A Solution Generator with Iterative Edit-Driven Retrieval Enhancement,,Zhenlong Dai; Zhuoluo Zhao; Hengning Wang; Xiu Tang; Sai Wu; Chang Yao; Zhipeng Gao; Jingyuan Chen,2026,arXiv,SE-G1 AND AI-G1,1,cs.AI; AAAI (2026),AAAI
Learning Adaptive Parallel Execution for Efficient Code Localization,,Ke Xu; Siyang Xiao; Ming Liang; Yichen Yu; Zhixiang Wang; Jingxuan Xu; Dajun Chen; Wei Jiang; Yong Li,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; ACL Findings (2026); ACL (Findings),ACL
Learning and Repair of Deep Reinforcement Learning Policies from Fuzz-Testing Data,10.1145/3597503.3623311,"Tappler, Martin and Pferscher, Andrea and Aichernig, Bernhard K. and Könighofer, Bettina",2024,ACM,SE-G1 AND AI-G2,1,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,ICSE
Learning From Developers: Towards Reliable Patch Validation at Scale for Linux,,Chih-En Lin; Attreyee Mukherjee; Ajay Rawat; Ruqi Zhang; Pedro Fonseca,2026,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
Learning Program Behavioral Models from Synthesized Input–Output Pairs,10.1145/3748720,"Mammadov, Tural and Klakow, Dietrich and Koller, Alexander and Zeller, Andreas",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
Learning the Effects of Software Changes,10.1145/3650212.3685550,"Plein, Laura",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
Learning to Detect and Localize Multilingual Bugs,10.1145/3660804,"Yang, Haoran and Nong, Yu and Zhang, Tao and Luo, Xiapu and Cai, Haipeng",2024,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,FSE/ESEC,FSE
Less Is More: Failing Test Generation with Large Language Models,10.1145/3793675,"Li, Tsz-On and Yan, Xiaochuan and Zong, Wenxi and Wang, Yibo and Tian, Haoye and Xu, Congying and Wang, Ying and Cheung, Shing-Chi and Kramer, Jeff",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
LessLeak-Bench: A First Investigation of Data Leakage in LLMs Across 83 Software Engineering Benchmarks,,Xin Zhou; Martin Weyssow; Ratnadira Widyasari; Ting Zhang; Junda He; Yunbo Lyu; Jianming Chang; Beiqi Zhang; Dan Huang; David Lo,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
"Let It Flow: Agentic Crafting on Rock and Roll, Building the ROME Model within an Open Agentic Learning Ecosystem",,Weixun Wang; XiaoXiao Xu; Wanhe An; Fangwen Dai; Wei Gao; Yancheng He; Ju Huang; Qiang Ji; Hanqi Jin; Xiaoyang Li; Yang Li; Zhongwen Li; Shirong Lin; Jiashun Liu; Zenan Liu; Tao Luo; Dilxat Muhtar; Yuanbin Qu; Jiaqiang Shi; Qinghui Sun; Yingshui Tan; Hao Tang; Runze Wang; Yi Wang; Zhaoguo Wang; Yanan Wu; Shaopan Xiong; Binchen Xu; Xander Xu; Yuchi Xu; Qipeng Zhang; Xixia Zhang; Haizhou Zhao; Jie Zhao; Shuaibing Zhao; Baihui Zheng; Jianhui Zheng; Suhang Zheng; Yanni Zhu; Mengze Cai; Kerui Cao; Xitong Chen; Yue Dai; Lifan Du; Tao Feng; Tao He; Jin Hu; Yijie Hu; Ziyu Jiang; Cheng Li; Xiang Li; Jing Liang; Xin Lin; Chonghuan Liu; ZhenDong Liu; Zhiqiang Lv; Haodong Mi; Yanhu Mo; Junjia Ni; Shixin Pei; Jingyu Shen; XiaoShuai Song; Cecilia Wang; Chaofan Wang; Kangyu Wang; Pei Wang; Tao Wang; Wei Wang; Ke Xiao; Mingyu Xu; Tiange Xu; Nan Ya; Siran Yang; Jianan Ye; Yaxing Zang; Duo Zhang; Junbo Zhang; Boren Zheng; Wanxi Deng; Ling Pan; Lin Qu; Wenbo Su; Jiamang Wang; Wei Wang; Hu Wei; Minggang Wu; Cheng Yu; Bing Zhao; Zhicheng Zheng; Bo Zheng,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Let the Code Speak: Incorporating Program Dynamic State for Better Method-Level Fault Localization,10.1109/ase63991.2025.00072,Y. Qin; S. Wang; B. Lin; X. Peng; S. Ouyang; L. Chen; X. Mao,2025,IEEE,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),ASE
Let’s Discover More API Relations: A Large Language Model-Based AI Chain for Unsupervised API Relation Inference,10.1145/3680469,"Huang, Qing and Sun, Yanbang and Xing, Zhenchang and Cao, Yuanlong and Chen, Jieshan and Xu, Xiwei and Jin, Huan and Lu, Jiaxing",2024,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
Leveraging Data Characteristics for Bug Localization in Deep Learning Programs,10.1145/3708473,"Manke, Ruchira and Wardat, Mohammad and Khomh, Foutse and Rajan, Hridesh",2025,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
