title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
AEGIS: An Agent-based Framework for Bug Reproduction from Issue Descriptions,10.1145/3696630.3728557,"Wang, Xinchen and Gao, Pengfei and Meng, Xiangxin and Peng, Chao and Hu, Ruida and Lin, Yun and Gao, Cuiyun",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
AEGIS: An Agent-based Framework for General Bug Reproduction from Issue Descriptions,,Xinchen Wang; Pengfei Gao; Xiangxin Meng; Chao Peng; Ruida Hu; Yun Lin; Cuiyun Gao,2024,arXiv,SE-G2 AND AI-G2,1,cs.SE; FSE 2025 (Industry Track); FSE/ESEC,FSE
AEM: Adaptive Entropy Modulation for Multi-Turn Agentic Reinforcement Learning,,Haotian Zhao; Songlin Zhou; Yuxin Zhang; Stephen S. -T. Yau; Wenyu Zhang; Lun Tian; Tianshu Zhu; Yifeng Huang; Yucheng Zeng; Jingnan Gu; Daxiang Dong; Jianmin Wu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; NeurIPS 2026,NeurIPS
Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving,,Xiangru Tang; Tianrui Qin; Tianhao Peng; Ziyang Zhou; Daniel Shao; Tingting Du; Xinming Wei; Peng Xia; Fang Wu; He Zhu; Ge Zhang; Jiaheng Liu; Xingyao Wang; Sirui Hong; Chenglin Wu; Hao Cheng; Chi Wang; Wangchunshu Zhou,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
Agent That Debugs: Dynamic State-Guided Vulnerability Repair,,Zhengyao Liu; Yunlong Ma; Jingxuan Xu; Junchen Ai; Xiang Gao; Hailong Sun; Abhik Roychoudhury,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Agent trajectories as programs: fingerprinting and programming coding-agent behavior,,Hamidah Oderinwale,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Agent-Based Ensemble Reasoning for Repository-Level Issue Resolution,,"Pengfei Gao, Junjie Chen, Chao Peng Zhao Tian",2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
Agent-RLVR: Training Software Engineering Agents via Guidance and Environment Rewards,,Jeff Da; Clinton Wang; Xiang Deng; Yuntao Ma; Nikhil Barhate; Sean Hendryx,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
AgentEval: DAG-Structured Step-Level Evaluation for Agentic Workflows with Error Propagation Tracking,,Dongxin Guo; Jikun Wu; Siu Ming Yiu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ACL 2026 (Industry Track),ACL
AgentFL: Scaling LLM-based Fault Localization to Project-Level Context,,Yihao Qin; Shangwen Wang; Yiling Lou; Jinhao Dong; Kaixin Wang; Xiaoling Li; Xiaoguang Mao,2024,arXiv,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,cs.SE,arXiv
