Publication Year,Author,Title,Url,Date,Short Title,Venue,Archive,Primary Category,Modified,1 means Modified compared to last updated,Bibtex Finished
2026,"Garg, Huang",Debug2Fix: Supercharging Coding Agents with Interactive Debugging Capabilities,https://arxiv.org/abs/2602.18571,20260220,,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Kon, Patrick Tser Jern; Pradeep, Archana; Chen, Ang; Ellis, Alexander P.; Hunt, Warren; Wang, Zijian; Yang, John; Thompson, Samuel",SWE-Protégé: Learning to Selectively Collaborate With an Expert Unlocks Small Language Models as Software Engineering Agents,http://arxiv.org/abs/2602.22124,20260225,SWE-Protégé,arXiv only,Train,Training,0,,1
2026,"Deng, Yi-Xuan; Liu, Xiaoqin; Zhang, Yi; Yang, Guo-Wei; Yang, Shuojin",Your Code Agent Can Grow Alongside You with Structured Memory,http://arxiv.org/abs/2603.13258,20260225,MemCoder,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Xiang, Jiahong; He, Wenxiao; Wang, Xihua; Tian, Hongliang; Zhang, Yuqun",Evaluating and Improving Automated Repository-Level Rust Issue Resolution with LLM-based Agents,http://arxiv.org/abs/2602.22764,20260226,Rust-SWE-bench,ICSE,Benchmark/E2E Agent,Benchmark,0,,1
2026,"Badertdinov, Ibragim; Nekrashevich, Maksim; Shevtsov, Anton; Golubev, Alexander",SWE-rebench V2: Language-Agnostic SWE Task Collection at Scale,http://arxiv.org/abs/2602.23866,20260227,SWE-rebench V2,ICML,Train Dataset,Training,1,,1
2026,"Zhang, Quanjun; Gao, Chengyu; Han, Yu; Shang, Ye; Fang, Chunrong; Chen, Zhenyu; Xiao, Liang",SGAgent: Suggestion-Guided LLM-Based Multi-Agent Framework for Repository-Level Software Repair,http://arxiv.org/abs/2602.23647,20260227,SGAgent,TOSEM,E2E Agent,Scaffold/Method Design,0,,1
2026,"Yu, Boxi; Cao, Yang; Zhang, Yuzhong; Lin, Liting; Xu, Junjielong; Zhong, Zhiqing; Xu, Qinghua; Wang, Guancheng; Cao, Jialun; Cheung, Shing-Chi; He, Pinjia; Briand, Lionel",SWE-ABS: Adversarial Benchmark Strengthening Exposes Inflated Success Rates on Test-based Benchmark,http://arxiv.org/abs/2603.00520,20260228,SWE-ABS,ICML,Benchmark,Benchmark,1,,1
2026,"Zeng, Yucheng; Li, Shupeng; Dong, Daxiang; Xu, Ruijie; Chen, Zimo; Zheng, Liwei; Li, Yuxuan; Zhou, Zhe; Zhao, Haotian; Tian, Lun; Xiao, Heng; Zhu, Tianshu; Hao, Longkun; Wu, Jianmin","SWE-Hub: A Unified Production System for Scalable, Executable Software Engineering Tasks",http://arxiv.org/abs/2603.00575,20260228,SWE-Hub,arXiv only,Train Dataset,Training,0,,1
2026,"He, Kang; Roy, Kaushik",SWE-Adept: An LLM-Based Agentic Framework for Deep Codebase Analysis and Structured Issue Resolution,http://arxiv.org/abs/2603.01327,20260301,SWE-Adept,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Pan, Zhongqiang; Li, Chuanyi; Zhong, Wenkang; Feng, Yi; Luo, Bin; Ng, Vincent",RepoRepair: Leveraging Code Documentation for Repository-Level Automated Program Repair,http://arxiv.org/abs/2603.01048,20260301,RepoRepair,arXiv only,E2E Pipeline,Scaffold/Method Design,1,,1
2026,"Zhao, Pengtao; Yang, Boyang; Le, Bach; Liu, Feng; Tian, Haoye",Beyond Localization: Recoverable Headroom and Residual Frontier in Repository-Level RAG-APR,https://arxiv.org/abs/2603.29067,202603,,arXiv only,Empirical,Empirical,0,,1
2026,"Liu, Mingwei; Chen, Zhenxi; Pei, Zheng; Wang, Zihao; Wang, Yanlin; Zheng, Zibin",Architecture-Aware Multi-Design Generation for Repository-Level Feature Addition,http://arxiv.org/abs/2603.01814,20260302,,arXiv only,E2E Pipeline,Scaffold/Method Design,0,,1
2026,"Chen, Jialong; Xu, Xander; Wei, Hu; Chen, Chuan; Zhao, Bing",SWE-CI: Evaluating Agent Capabilities in Maintaining Codebases via Continuous Integration,http://arxiv.org/abs/2603.03823,20260304,SWE-CI,arXiv only,Benchmark,Benchmark,0,,1
2026,"Wang, Xingyao; Chen, Valerie; Ji, Heng; Neubig, Graham",A Rubric-Supervised Critic from Sparse Real-World Outcomes,http://arxiv.org/abs/2603.03800,20260304,,arXiv only,Selection,Scaffold/Method Design,0,,1
2026,"Suri, Manan; Li, Xiangci; Shojaie, Mehdi; Han, Songyang; Hsu, Chao-Chun; Garg, Shweta; Deshmukh, Aniket Anand; Kumar, Varun",CodeScout: Contextual Problem Statement Enhancement for Software Agents,http://arxiv.org/abs/2603.05744,20260305,CodeScout,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Fei, Zhiwei; Pan, Yue; Sarro, Federica; Ge, Jidong; Liu, Marc; Ng, Vincent; Ye, He",Echo: Graph-Enhanced Retrieval and Execution Feedback for Issue Reproduction Test Generation,http://arxiv.org/abs/2603.07326,20260307,Echo,arXiv only,Reproduction,Scaffold/Method Design,0,,1
2026,"Wen, Xin-Cheng; Chen, Binbin; Lan, Haoxuan; Yu, Hang; Di, Peng; Gao, Cuiyun",SWE-Fuse: Empowering Software Agents via Issue-free Trajectory Learning and Entropy-aware RLVR Training,http://arxiv.org/abs/2603.07927,20260309,SWE-Fuse,arXiv only,Train,Training,0,,1
